bucket,count,pct,bar
<8,0,0.0,
8..8.5,0,0.0,
8.5..9,0,0.0,
9..9.5,0,0.0,
9.5..10,0,0.0,
10..10.5,0,0.0,
10.5..11,0,0.0,
11..11.5,0,0.0,
11.5..12,144,19.3,###################
12..12.5,103,13.8,##############
12.5..13,142,19.0,###################
13..13.5,118,15.8,################
13.5..14,134,17.9,##################
14..14.5,61,8.2,########
14.5..15,45,6.0,######
15..15.5,0,0.0,
15.5..16,0,0.0,
16..16.5,0,0.0,
16.5..17,0,0.0,
17..17.5,0,0.0,
17.5..18,0,0.0,
18..18.5,0,0.0,
18.5..19,0,0.0,
19..19.5,0,0.0,
19.5..20,0,0.0,
>=20,0,0.0,
